,0,1,2,3,4
95,2018-03-16 17:26:45.480,-18000000,0.43328857421875,-0.211669921875,0.14654541015625
96,2018-03-16 17:26:45.525,-18000000,0.4344482421875,-0.21478271484375,0.14923095703125
97,2018-03-16 17:26:45.570,-18000000,0.433837890625,-0.2144775390625,0.150634765625
98,2018-03-16 17:26:45.615,-18000000,0.4334716796875,-0.2127685546875,0.1510009765625
99,2018-03-16 17:26:45.660,-18000000,0.43115234375,-0.21209716796875,0.153076171875
100,2018-03-16 17:26:45.705,-18000000,0.43011474609375,-0.214599609375,0.15069580078125
101,2018-03-16 17:26:45.750,-18000000,0.43121337890625,-0.2161865234375,0.150634765625
102,2018-03-16 17:26:45.795,-18000000,0.43109130859375,-0.21820068359375,0.15240478515625
103,2018-03-16 17:26:45.840,-18000000,0.43121337890625,-0.2171630859375,0.15484619140625
104,2018-03-16 17:26:46.083,-18000000,0.43109130859375,-0.2178955078125,0.15399169921875
110,2018-03-16 17:26:46.471,-18000000,0.42724609375,-0.21575927734375,0.161376953125
115,2018-03-16 17:26:46.963,-18000000,0.4189453125,-0.21221923828125,0.16943359375
126,2018-03-16 17:26:46.999,-18000000,0.39483642578125,-0.2528076171875,0.19158935546875
127,2018-03-16 17:26:47.035,-18000000,0.38934326171875,-0.25811767578125,0.1893310546875
128,2018-03-16 17:26:47.071,-18000000,0.389892578125,-0.261962890625,0.19482421875
129,2018-03-16 17:26:47.107,-18000000,0.38995361328125,-0.264404296875,0.1949462890625
130,2018-03-16 17:26:47.143,-18000000,0.3883056640625,-0.2657470703125,0.19384765625
131,2018-03-16 17:26:47.179,-18000000,0.38385009765625,-0.26690673828125,0.19549560546875
132,2018-03-16 17:26:47.215,-18000000,0.3795166015625,-0.26812744140625,0.1981201171875
136,2018-03-16 17:26:47.838,-18000000,0.37738037109375,-0.2774658203125,0.2005615234375
137,2018-03-16 17:26:48.130,-18000000,0.37628173828125,-0.2767333984375,0.20001220703125
149,2018-03-16 17:26:48.202,-18000000,0.39404296875,-0.2664794921875,0.17333984375
150,2018-03-16 17:26:48.238,-18000000,0.3978271484375,-0.26763916015625,0.17022705078125
151,2018-03-16 17:26:48.274,-18000000,0.4022216796875,-0.2628173828125,0.1708984375
152,2018-03-16 17:26:48.310,-18000000,0.40643310546875,-0.25897216796875,0.1641845703125
153,2018-03-16 17:26:48.346,-18000000,0.4088134765625,-0.25592041015625,0.15802001953125
154,2018-03-16 17:26:48.382,-18000000,0.41119384765625,-0.25244140625,0.154541015625
156,2018-03-16 17:26:48.425,-18000000,0.4149169921875,-0.2432861328125,0.14971923828125
157,2018-03-16 17:26:48.468,-18000000,0.41522216796875,-0.23858642578125,0.14453125
158,2018-03-16 17:26:48.511,-18000000,0.41925048828125,-0.22509765625,0.14794921875
159,2018-03-16 17:26:48.554,-18000000,0.417724609375,-0.22003173828125,0.14508056640625
160,2018-03-16 17:26:48.597,-18000000,0.419921875,-0.2138671875,0.14312744140625
161,2018-03-16 17:26:48.640,-18000000,0.42547607421875,-0.212890625,0.14495849609375
162,2018-03-16 17:26:48.683,-18000000,0.43267822265625,-0.20947265625,0.1416015625
163,2018-03-16 17:26:48.726,-18000000,0.4375,-0.2076416015625,0.141845703125
164,2018-03-16 17:26:48.769,-18000000,0.4354248046875,-0.21136474609375,0.1356201171875
165,2018-03-16 17:26:48.911,-18000000,0.438232421875,-0.21502685546875,0.13189697265625
171,2018-03-16 17:26:49.633,-18000000,0.43768310546875,-0.233642578125,0.11083984375
172,2018-03-16 17:26:49.891,-18000000,0.4342041015625,-0.23291015625,0.11102294921875
